gene	data size	good data	mbio Call	ctrl mean	exp mean	log2FC	logFC_5_neg	logFC_10_neg	logFC_5_pos	logFC_10_pos	logFC_5_str	logFC_10_str	obs-value	norm-obs	p-value	adj. pval
RVBD0893c:RVBD0893c	8	8	NE	1997.83	1946.35	-0.038	-0.081	-0.038	0.063	-0.038	-0.078	-0.038	-29.59	-0.01776829	0.8504500000	1.0000000000
RVBD0894:RVBD0894	17	17	NE	1331.39	1208.86	-0.139	-0.025	-0.074	0.155	0.065	0.155	-0.163	18.91	0.02038486	1.0000000000	1.0000000000
RVBD0895:RVBD0895	9	9	NE	1434.27	1891.58	0.399	-0.005	0.399	0.243	0.399	0.158	0.399	-96.03	-0.04649582	0.9267500000	1.0000000000
RVBD0896:gltA2	155	154	GD	422.21	560.47	0.409	-0.326	-0.238	0.893	0.905	0.464	0.353	75.45	0.15102251	0.0001000000	0.0070483333
RVBD0897c:RVBD0897c	15	15	NE	1459.62	1344.33	-0.119	-0.135	-0.024	0.205	0.102	0.205	-0.009	1.30	0.00100656	0.9720000000	1.0000000000
RVBD0898c:RVBD0898c	4	4	Uncertain	1662.08	1518.45	-0.130	-0.130	-0.130	-0.130	-0.130	-0.130	-0.130	-14.98	-0.01134474	0.9541000000	1.0000000000
RVBD0899:ompA	12	12	NE	861.81	826.38	-0.061	-0.133	-0.100	-0.066	-0.061	-0.133	-0.040	17.06	0.02552327	1.0000000000	1.0000000000
RVBD0900:RVBD0900	5	5	NE	950.13	1060.57	0.159	0.159	0.159	0.159	0.159	0.159	0.159	-40.48	-0.03306305	0.7389000000	1.0000000000
RVBD0901:RVBD0901	5	5	NE	1412.07	1153.98	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-0.291	-231.52	-0.21378963	0.6574000000	1.0000000000
RVBD0902c:prrB	116	116	ES	1003.49	960.68	-0.063	-0.938	-0.844	0.516	0.386	-0.323	-0.394	-36.77	-0.03980866	0.4445000000	1.0000000000
RVBD0903c:prrA	71	71	ES	291.32	208.19	-0.485	-1.258	-1.091	0.232	0.172	-0.842	-0.715	-48.55	-0.15298988	0.0047000000	0.1698829060
RVBD0904c:accD3	11	11	NE	1642.69	1754.77	0.095	-0.116	-0.069	0.129	0.063	-0.042	-0.069	20.67	0.01111897	0.9337500000	1.0000000000
RVBD0905:echA6	9	9	NE	1903.59	2056.54	0.111	-0.023	0.111	0.169	0.111	0.111	0.111	-59.82	-0.04426876	0.9772000000	1.0000000000
RVBD0906:RVBD0906	8	8	NE	924.52	885.18	-0.063	-0.194	-0.063	0.082	-0.063	-0.001	-0.063	-20.94	-0.02859279	0.9291500000	1.0000000000
RVBD0907:RVBD0907	6	6	NE	1070.76	966.36	-0.148	-0.081	-0.148	0.071	-0.148	-0.081	-0.148	-34.88	-0.03648456	0.8355000000	1.0000000000
RVBD0908:ctpE	14	14	NE	1759.32	1772.62	0.011	-0.172	-0.089	0.246	0.012	0.027	-0.100	125.94	0.10010762	0.6465500000	1.0000000000
RVBD0909:RVBD0909	6	6	NE	1152.45	1145.24	-0.009	-0.101	-0.009	0.212	-0.009	0.077	-0.009	-37.71	-0.04341137	0.9174500000	1.0000000000
RVBD0910:RVBD0910	4	4	NE	2667.48	2491.59	-0.098	-0.098	-0.098	-0.098	-0.098	-0.098	-0.098	88.99	0.02569974	0.8835500000	1.0000000000
RVBD0911:RVBD0911	9	9	NE	1306.87	1439.51	0.139	-0.158	0.139	0.045	0.139	0.045	0.139	-91.88	-0.08103741	0.4891500000	1.0000000000
RVBD0912:RVBD0912	7	7	NE	1363.52	1159.93	-0.233	0.044	-0.233	0.070	-0.233	0.070	-0.233	0.27	0.00024193	1.0000000000	1.0000000000
RVBD0913c:RVBD0913c	23	23	NE	1416.11	1421.66	0.006	0.006	-0.222	0.256	0.053	-0.215	-0.187	58.85	0.04902805	0.8340500000	1.0000000000
RVBD0914c:RVBD0914c	6	6	NE	1738.66	1797.46	0.048	0.152	0.048	-0.057	0.048	0.152	0.048	209.49	0.12434592	0.6897500000	1.0000000000
RVBD0915c:PPE14	7	7	NE	2329.93	2635.13	0.178	-0.048	0.178	0.128	0.178	0.266	0.178	-66.46	-0.02988463	0.6195000000	1.0000000000
RVBD0916c:PE7	5	5	NE	724.24	630.53	-0.200	-0.200	-0.200	-0.200	-0.200	-0.200	-0.200	58.03	0.09848928	0.9636500000	1.0000000000
RVBD0917:betP	30	30	NE	1101.05	1169.11	0.087	-0.108	-0.145	0.017	0.023	0.026	-0.017	77.13	0.08568232	0.4999500000	1.0000000000
RVBD0918:RVBD0918	6	6	NE	1159.10	1070.05	-0.115	-0.163	-0.115	0.142	-0.115	0.142	-0.115	25.57	0.02339673	0.8270500000	1.0000000000
RVBD0919:RVBD0919	11	11	NE	1149.84	1362.18	0.244	-0.081	0.069	0.132	0.329	0.312	0.069	123.88	0.13757100	0.1662500000	1.0000000000
RVBD0920c:RVBD0920c	9	9	NE	1942.10	1879.69	-0.047	-0.107	-0.047	0.084	-0.047	0.084	-0.047	-8.63	-0.00279862	0.9567000000	1.0000000000
RVBD0921:RVBD0921	7	7	NE	889.61	1092.87	0.297	-0.043	0.297	0.058	0.297	0.297	0.297	37.93	0.02784121	0.7712500000	1.0000000000
RVBD0922:RVBD0922	8	7	NE	1553.68	1623.91	0.064	0.056	0.064	0.060	0.064	0.060	0.064	35.96	0.02872834	1.0000000000	1.0000000000
RVBD0923c:RVBD0923c	6	6	NE	1715.80	1755.45	0.033	-0.011	0.033	0.210	0.033	0.210	0.033	118.98	0.09397134	0.1885000000	1.0000000000
RVBD0924c:mntH	14	14	NE	1670.29	1822.58	0.126	-0.095	0.060	0.309	0.026	0.007	0.060	38.56	0.02296492	0.9229000000	1.0000000000
RVBD0925c:RVBD0925c	6	6	NE	2486.56	2314.95	-0.103	-0.013	-0.103	-0.013	-0.103	-0.013	-0.103	76.82	0.03265794	0.9160500000	1.0000000000
RVBD0926c:RVBD0926c	7	7	NE	2208.90	2242.54	0.022	-0.018	0.022	-0.025	0.022	0.022	0.022	-333.42	-0.19385240	0.6058000000	1.0000000000
RVBD0927c:RVBD0927c	8	8	NE	2836.29	3000.59	0.081	-0.161	0.081	0.178	0.081	0.104	0.081	146.30	0.05708794	0.5945000000	1.0000000000
RVBD0928:pstS3	9	9	NE	2773.29	2390.32	-0.214	-0.133	-0.214	-0.057	-0.214	-0.133	-0.214	188.05	0.09009529	0.8140500000	1.0000000000
RVBD0929:pstC2	10	10	NE	1529.41	1356.36	-0.173	-0.347	-0.173	0.015	-0.173	-0.277	-0.173	-163.65	-0.11593854	0.7614500000	1.0000000000
RVBD0930:pstA1	7	7	NE	1204.30	1278.90	0.087	-0.494	0.087	0.004	0.087	0.087	0.087	-33.04	-0.01902841	0.8484500000	1.0000000000
RVBD0931c:pknD	8	8	GA	1627.97	1764.97	0.117	0.055	0.117	0.055	0.117	-0.032	0.117	31.17	0.02693398	0.7704000000	1.0000000000
RVBD0932c:pstS2	10	10	NE	1930.51	1969.37	0.029	-0.164	0.029	0.014	0.029	0.014	0.029	-1.55	-0.00096047	0.9988000000	1.0000000000
RVBD0933:pstB	10	10	NE	1512.70	1631.24	0.109	0.016	0.109	0.171	0.109	0.034	0.109	45.88	0.03483851	0.8019000000	1.0000000000
RVBD0934:pstS1	12	12	NE	1412.97	1201.57	-0.234	-0.147	-0.234	0.199	0.051	-0.325	-0.097	-81.92	-0.06451471	0.7830500000	1.0000000000
RVBD0935:pstC1	6	6	NE	1744.19	1851.72	0.086	0.182	0.086	-0.131	0.086	0.182	0.086	100.17	0.05605322	0.8565500000	1.0000000000
RVBD0936:pstA2	10	10	NE	719.92	762.93	0.084	-0.358	0.084	0.283	0.084	-0.146	0.084	-10.08	-0.01235835	0.9383000000	1.0000000000
RVBD0937c:mku	5	5	NE	1936.57	1914.51	-0.017	-0.017	-0.017	-0.017	-0.017	-0.017	-0.017	-189.17	-0.06787917	0.7697500000	1.0000000000
RVBD0938:ligD	16	16	NE	1192.04	1209.98	0.022	-0.301	-0.201	0.224	0.290	0.016	0.043	-17.22	-0.01761112	0.9191500000	1.0000000000
RVBD0939:RVBD0939	14	14	NE	1264.61	1214.65	-0.058	-0.145	-0.192	0.196	0.173	-0.263	-0.067	88.90	0.10795516	0.7968000000	1.0000000000
RVBD0940c:RVBD0940c	9	9	NE	1319.74	1201.57	-0.135	-0.135	-0.135	-0.106	-0.135	-0.135	-0.135	-41.94	-0.03760144	0.7888000000	1.0000000000
RVBD0941c:RVBD0941c	8	8	NE	1646.08	1654.99	0.008	0.010	0.008	0.142	0.008	0.010	0.008	109.18	0.07168689	0.7024000000	1.0000000000
RVBD0942:RVBD0942	7	7	NE	1773.17	1619.53	-0.131	0.000	-0.131	0.132	-0.131	0.117	-0.131	34.66	0.02943596	0.7638500000	1.0000000000
RVBD0943c:RVBD0943c	8	8	NE	942.42	958.62	0.025	0.092	0.025	0.332	0.025	0.097	0.025	-59.60	-0.13361045	0.7296500000	1.0000000000
RVBD0944:RVBD0944	8	8	NE	2264.13	2310.90	0.029	-0.058	0.029	-0.058	0.029	-0.025	0.029	38.91	0.01720336	0.6734000000	1.0000000000
RVBD0945:RVBD0945	6	6	NE	1452.08	1313.24	-0.145	-0.214	-0.145	-0.024	-0.145	-0.024	-0.145	87.95	0.06042868	0.3895500000	1.0000000000
RVBD0946c:pgi	157	155	GD	1112.96	1136.14	0.030	-1.083	-0.259	0.441	0.335	-0.085	0.007	31.04	0.03177833	0.4628500000	1.0000000000
RVBD0948c:RVBD0948c	29	29	ES	1053.01	1006.42	-0.065	-0.229	-0.281	0.240	0.146	-0.283	-0.221	-37.03	-0.05863442	0.7691500000	1.0000000000
RVBD0949:uvrD1	14	14	NE	749.54	774.55	0.047	-0.186	-0.298	0.364	0.002	-0.176	-0.177	-11.65	-0.01192306	0.8996500000	1.0000000000
RVBD0950c:RVBD0950c	8	8	NE	613.08	538.14	-0.188	-0.101	-0.188	0.002	-0.188	-0.063	-0.188	-50.89	-0.11220351	0.6694000000	1.0000000000
RVBD0951:sucC	108	104	ES	926.23	827.05	-0.163	-0.897	-0.562	0.229	0.130	-0.150	-0.406	-74.48	-0.10053086	0.0963000000	1.0000000000
RVBD0952:sucD	46	46	ES	579.37	466.32	-0.313	-0.584	-0.497	0.352	0.093	-0.500	-0.341	-46.75	-0.07658814	0.3270000000	1.0000000000
RVBD0953c:RVBD0953c	8	8	NE	2235.40	2428.04	0.119	-0.049	0.119	0.145	0.119	-0.138	0.119	87.19	0.04081078	0.8748500000	1.0000000000
RVBD0954:RVBD0954	6	6	NE	273.11	305.71	0.163	-0.241	0.163	-0.096	0.163	-0.096	0.163	-18.84	-0.06666005	0.6426000000	1.0000000000
RVBD0955:RVBD0955	9	9	NE	671.75	500.68	-0.424	-0.424	-0.424	-0.162	-0.424	-0.268	-0.424	-111.23	-0.18052288	0.2600000000	1.0000000000
RVBD0956:purN	75	73	ES	279.76	231.99	-0.270	-0.806	-0.707	0.168	0.256	-0.144	-0.192	-23.56	-0.06714724	0.0211500000	0.5230605263
RVBD0957:purH	109	109	ES	736.38	600.79	-0.294	-0.872	-0.835	0.244	0.060	-0.939	-0.761	-117.93	-0.17483311	0.0020500000	0.0849946078
RVBD0958:RVBD0958	6	6	NE	1240.68	1177.92	-0.075	0.048	-0.075	0.109	-0.075	0.109	-0.075	102.05	0.09253156	0.6473500000	1.0000000000
RVBD0959:RVBD0959	16	15	NE	973.08	1100.45	0.177	-0.203	0.027	0.290	-0.041	0.177	-0.203	49.60	0.03595309	0.9699500000	1.0000000000
RVBD0959A:vapB9	7	7	NE	1769.79	1480.71	-0.257	0.117	-0.257	-0.257	-0.257	-0.257	-0.257	-39.43	-0.03068676	0.8451000000	1.0000000000
RVBD0960:RVBD0960	2	2	NE	5640.19	5105.38	-0.144	-0.144	-0.144	-0.144	-0.144	-0.144	-0.144	-165.04	-0.02493254	0.5464500000	1.0000000000
RVBD0961:RVBD0961	8	8	NE	1320.25	1339.58	0.021	-0.067	0.021	0.147	0.021	0.228	0.021	-22.39	-0.02049774	0.8907500000	1.0000000000
RVBD0962c:lprP	6	6	NE	2781.53	2718.73	-0.033	0.101	-0.033	0.089	-0.033	0.101	-0.033	-130.14	-0.06306742	0.6039500000	1.0000000000
RVBD0963c:RVBD0963c	7	7	NE	2505.43	2587.54	0.047	-0.168	0.047	0.055	0.047	0.114	0.047	-10.59	-0.00411809	1.0000000000	1.0000000000
RVBD0964c:RVBD0964c	6	6	NE	3093.20	3162.87	0.032	-0.063	0.032	-0.063	0.032	0.229	0.032	44.01	0.01279720	0.9584500000	1.0000000000
RVBD0965c:RVBD0965c	6	6	NE	1374.21	1305.53	-0.074	0.243	-0.074	0.243	-0.074	-0.210	-0.074	197.75	0.15521040	0.6264000000	1.0000000000
RVBD0966c:RVBD0966c	8	8	NE	1031.35	1044.42	0.018	-0.114	0.018	0.120	0.018	-0.114	0.018	-12.38	-0.01323809	0.9293500000	1.0000000000
RVBD0967:csoR	5	5	Uncertain	2112.07	1908.73	-0.146	-0.146	-0.146	-0.146	-0.146	-0.146	-0.146	67.82	0.07207111	0.7679500000	1.0000000000
RVBD0968:RVBD0968	5	5	NE	1343.29	1318.76	-0.027	-0.027	-0.027	-0.027	-0.027	-0.027	-0.027	34.76	0.07093352	0.7782000000	1.0000000000
RVBD0969:ctpV	13	13	NE	948.76	942.13	-0.010	-0.107	0.142	0.130	-0.034	0.139	0.142	30.67	0.03370349	0.9716500000	1.0000000000
RVBD0970:RVBD0970	10	10	NE	1074.36	1227.84	0.193	-0.148	0.193	0.125	0.193	0.101	0.193	-53.43	-0.03573302	0.7140000000	1.0000000000
RVBD0971c:echA7	6	6	NE	1598.86	1678.73	0.070	0.103	0.070	0.111	0.070	0.103	0.070	129.53	0.14306464	0.7548500000	1.0000000000
RVBD0972c:fadE12	7	7	NE	1403.98	1372.82	-0.032	-0.032	-0.032	-0.049	-0.032	0.094	-0.032	-75.15	-0.06005743	0.7659500000	1.0000000000
RVBD0973c:accA2	13	13	NE	1252.84	1156.81	-0.115	-0.211	-0.153	-0.046	-0.001	0.035	-0.030	-35.66	-0.03584681	0.8047000000	1.0000000000
RVBD0974c:accD2	12	12	NE	1046.96	1062.22	0.021	-0.030	-0.075	0.066	0.021	0.054	-0.093	15.24	0.01710328	1.0000000000	1.0000000000
RVBD0975c:fadE13	7	7	NE	1072.20	958.28	-0.162	-0.162	-0.162	-0.160	-0.162	-0.162	-0.162	-50.06	-0.03723343	0.3684500000	1.0000000000
RVBD0976c:RVBD0976c	15	15	NE	1143.78	1296.75	0.181	-0.106	0.036	0.223	0.128	0.009	0.180	-33.41	-0.01793240	0.8211500000	1.0000000000
RVBD0977:PE-PGRS16	19	19	GA	1343.49	1362.05	0.020	-0.254	-0.052	0.203	0.140	0.087	0.190	29.64	0.02322007	0.8698000000	1.0000000000
RVBD0979A:rpmF	17	17	Uncertain	1095.37	1064.76	-0.041	0.000	-0.101	0.316	0.136	0.262	0.235	-4.37	-0.00407292	1.0000000000	1.0000000000
RVBD0979c:RVBD0979c	6	6	GA	106.18	90.37	-0.232	-0.164	-0.232	-0.114	-0.232	-0.205	-0.232	-29.15	-0.34266131	0.5268000000	1.0000000000
RVBD0980c:PE-PGRS18	5	5	GA	3606.86	3580.10	-0.011	-0.011	-0.011	-0.011	-0.011	-0.011	-0.011	-54.87	-0.02260719	0.8061500000	1.0000000000
RVBD0981:mprA	10	10	GA	1717.55	1754.50	0.031	0.019	0.031	0.041	0.031	0.003	0.031	-12.26	-0.00514586	0.9339500000	1.0000000000
RVBD0982:mprB	144	142	ES	1088.98	1093.03	0.005	-0.897	-0.374	0.334	0.343	0.053	-0.209	-37.72	-0.04399993	0.4273500000	1.0000000000
RVBD0983:pepD	8	8	NE	931.17	837.37	-0.153	-0.219	-0.153	-0.100	-0.153	-0.123	-0.153	-107.06	-0.18514482	0.5690000000	1.0000000000
RVBD0984:moaB2	5	5	NE	825.39	759.09	-0.121	-0.121	-0.121	-0.121	-0.121	-0.121	-0.121	-40.31	-0.05223789	0.9040000000	1.0000000000
RVBD0985c:mscL	7	7	NE	1845.00	1873.74	0.022	-0.284	0.022	0.031	0.022	0.006	0.022	16.24	0.01191976	0.8425500000	1.0000000000
RVBD0986:RVBD0986	14	14	NE	1385.25	1425.76	0.042	-0.316	0.042	-0.061	0.094	0.035	-0.124	-34.71	-0.03037718	0.6784000000	1.0000000000
RVBD0987:RVBD0987	24	24	NE	1257.52	1394.36	0.149	-0.258	-0.184	0.165	0.078	-0.213	0.049	46.80	0.03796258	0.5643500000	1.0000000000
RVBD0988:RVBD0988	15	13	NE	1917.83	1660.02	-0.208	-0.055	0.000	-0.029	-0.001	-0.029	0.000	-22.93	-0.01597052	0.9274000000	1.0000000000
RVBD0989c:grcC2	6	6	NE	995.52	1058.56	0.089	-0.177	0.089	-0.132	0.089	-0.132	0.089	-77.60	-0.15408698	0.5764500000	1.0000000000
RVBD0990c:RVBD0990c	7	7	NE	2444.87	2379.35	-0.039	-0.206	-0.039	-0.028	-0.039	-0.206	-0.039	-111.38	-0.04741937	0.8396000000	1.0000000000
RVBD0991c:RVBD0991c	9	9	NE	1889.50	1754.77	-0.107	-0.075	-0.107	0.197	-0.107	-0.107	-0.107	53.99	0.03420100	0.8078000000	1.0000000000
RVBD0992c:RVBD0992c	6	6	NE	1022.29	1028.51	0.009	0.006	0.009	-0.018	0.009	0.006	0.009	51.34	0.10664740	0.5589500000	1.0000000000
RVBD0993:galU	119	117	ES	598.81	499.66	-0.261	-0.762	-0.912	0.931	0.281	-0.397	-0.351	-57.80	-0.08868034	0.0196000000	0.5023539394
RVBD0994:moeA1	9	9	NE	1456.58	1159.93	-0.329	-0.558	-0.329	-0.329	-0.329	-0.445	-0.329	-94.83	-0.06917546	0.7516000000	1.0000000000
RVBD0995:rimJ	8	8	NE	1320.42	1341.86	0.023	-0.072	0.023	-0.021	0.023	-0.021	0.023	-47.62	-0.05807257	0.7146000000	1.0000000000
RVBD0996:RVBD0996	7	7	NE	1702.89	1648.45	-0.047	-0.123	-0.047	-0.047	-0.047	-0.123	-0.047	-271.44	-0.25406114	0.5281000000	1.0000000000
RVBD0997:RVBD0997	5	5	NE	2722.99	2751.03	0.015	0.015	0.015	0.015	0.015	0.015	0.015	-190.70	-0.15483777	0.2727500000	1.0000000000
RVBD0998:RVBD0998	9	9	NE	1343.49	1148.04	-0.227	-0.227	-0.227	-0.116	-0.227	-0.227	-0.227	-25.17	-0.01696761	0.6781500000	1.0000000000
RVBD0999:RVBD0999	8	8	NE	1537.80	1604.74	0.061	-0.050	0.061	0.221	0.061	-0.050	0.061	14.77	0.01027726	0.8746500000	1.0000000000
RVBD1000c:RVBD1000c	5	5	NE	2110.37	2148.06	0.026	0.026	0.026	0.026	0.026	0.026	0.026	-66.40	-0.06708782	0.8208000000	1.0000000000
RVBD1001:arcA	8	7	NE	2075.76	1939.17	-0.098	-0.118	-0.098	-0.009	-0.098	-0.009	-0.098	-62.87	-0.08132031	0.7279500000	1.0000000000
RVBD1002c:RVBD1002c	195	193	GD	1034.85	1011.22	-0.033	-0.405	-0.556	0.461	0.309	-0.128	-0.179	-11.25	-0.01479684	0.7880500000	1.0000000000
RVBD1003:RVBD1003	7	6	NE	427.97	410.64	-0.060	-0.317	-0.060	-0.317	-0.060	0.112	-0.060	-13.82	-0.02560778	0.5940500000	1.0000000000
RVBD1004c:RVBD1004c	7	7	NE	2099.96	2099.78	-0.000	-0.000	-0.000	0.033	-0.000	-0.000	-0.000	-57.74	-0.03832222	1.0000000000	1.0000000000
RVBD1005c:pabB	115	115	ES	736.38	523.46	-0.492	-1.385	-1.429	0.277	0.150	-0.829	-0.897	-125.17	-0.17706596	0.0000500000	0.0041460784
RVBD1006:RVBD1006	16	16	GA	1707.00	1679.13	-0.024	-0.312	-0.013	0.055	-0.024	0.135	0.009	-86.70	-0.05922746	0.3992000000	1.0000000000
RVBD1007c:metS	162	161	ES	137.57	118.44	-0.216	-1.017	-1.171	-0.118	0.677	-0.666	-0.441	-12.37	-0.09294800	0.0012000000	0.0551608696
RVBD1008:tatD	6	6	GA	1192.04	1196.62	0.006	0.125	0.006	0.125	0.006	0.125	0.006	89.92	0.13175370	0.6783000000	1.0000000000
RVBD1009:rpfB	6	6	NE	831.15	923.15	0.151	-0.168	0.151	0.028	0.151	-0.168	0.151	-79.25	-0.09352407	0.8868500000	1.0000000000
RVBD1010:ksgA	9	9	NE	332.85	352.83	0.084	-0.222	0.084	-0.041	0.084	-0.025	0.084	-40.60	-0.10123686	0.1845500000	1.0000000000
RVBD1011:ispE	94	92	ES	1004.59	951.74	-0.078	-0.316	-0.526	0.270	0.258	-0.112	0.035	-66.61	-0.07094338	0.1139500000	1.0000000000
RVBD1012:RVBD1012	3	3	NE	2140.78	2110.38	-0.021	-0.021	-0.021	-0.021	-0.021	-0.021	-0.021	-85.35	-0.04375278	0.6970500000	1.0000000000
RVBD1013:pks16	20	20	NE	1380.13	1502.94	0.123	-0.024	-0.058	0.206	0.098	0.066	0.079	111.05	0.08517011	0.8324000000	1.0000000000
RVBD1014c:pth	38	38	ES	582.41	494.53	-0.236	-0.740	-0.546	0.509	0.212	-0.438	-0.512	-63.04	-0.13755985	0.0605500000	1.0000000000
RVBD1015c:rplY	49	48	GD	1049.58	1094.50	0.060	-0.487	-0.350	0.207	0.250	-0.200	-0.216	-47.77	-0.04770888	0.3494000000	1.0000000000
RVBD1016c:lpqT	13	13	GA	1435.30	1411.30	-0.024	-0.211	0.037	0.198	0.026	-0.030	-0.125	48.06	0.04007112	0.8986000000	1.0000000000
RVBD1017c:prsA	102	102	ES	311.11	290.25	-0.100	-1.072	-0.986	0.369	0.316	-0.283	-0.448	-22.48	-0.04348040	0.0146000000	0.4009311688
RVBD1018c:glmU	88	88	ES	835.14	741.45	-0.172	-0.858	-0.958	0.306	0.339	-0.603	-0.752	-56.28	-0.06374824	0.0236500000	0.5650612994
RVBD1019:RVBD1019	5	5	NE	631.18	559.15	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	-115.74	-0.30226165	0.4006500000	1.0000000000
RVBD1020:mfd	23	23	NE	833.20	880.36	0.079	-0.381	-0.002	0.154	0.128	0.135	0.042	-29.86	-0.05067252	0.7813500000	1.0000000000
RVBD1021:RVBD1021	6	6	NE	1993.74	1920.92	-0.054	-0.057	-0.054	-0.073	-0.054	-0.094	-0.054	87.51	0.11068012	0.6898500000	1.0000000000
RVBD1022:lpqU	7	7	NE	1885.35	1873.74	-0.009	-0.105	-0.009	0.065	-0.009	0.094	-0.009	27.43	0.01908461	1.0000000000	1.0000000000
RVBD1023:eno	88	88	GD	167.67	144.98	-0.210	-1.162	-1.099	0.405	0.362	0.098	-0.299	-15.08	-0.08769752	0.0833500000	1.0000000000
RVBD1024:RVBD1024	45	42	ES	218.94	228.78	0.063	-0.850	-0.838	0.281	0.215	-0.210	-0.310	-9.06	-0.02834397	0.4536000000	1.0000000000
RVBD1025:RVBD1025	42	42	ES	904.74	1005.68	0.153	-0.264	-0.243	0.191	0.228	0.018	0.005	35.37	0.03697796	0.7141000000	1.0000000000
RVBD1026:RVBD1026	6	6	NE	1549.29	1650.67	0.091	-0.028	0.091	0.073	0.091	-0.028	0.091	43.44	0.04290074	0.9146500000	1.0000000000
RVBD1027c:kdpE	9	9	NE	2035.16	1927.33	-0.079	-0.105	-0.079	0.040	-0.079	0.040	-0.079	52.05	0.02803334	0.8441000000	1.0000000000
RVBD1028A:kdpF	6	6	NE	2618.20	2626.21	0.004	-0.079	0.004	-0.011	0.004	0.065	0.004	123.76	0.05975035	0.8645000000	1.0000000000
RVBD1028c:kdpD	16	16	NE	1274.50	1254.56	-0.023	-0.228	-0.038	0.037	-0.023	-0.053	-0.023	-8.92	-0.01136720	0.8019500000	1.0000000000
RVBD1029:kdpA	26	26	NE	869.80	885.60	0.026	-0.119	-0.035	0.403	0.108	-0.015	0.066	91.26	0.15019756	0.2598500000	1.0000000000
RVBD1030:kdpB	11	11	NE	1003.49	965.93	-0.055	-0.055	0.120	0.214	0.226	0.089	0.120	40.18	0.04403735	0.8195000000	1.0000000000
RVBD1031:kdpC	6	6	NE	1815.41	1943.54	0.098	-0.008	0.098	0.006	0.098	-0.008	0.098	-24.08	-0.01496830	0.8923500000	1.0000000000
RVBD1032c:trcS	6	6	NE	2546.76	2715.43	0.093	0.100	0.093	0.100	0.093	-0.069	0.093	-81.20	-0.04621082	0.8992000000	1.0000000000
RVBD1033c:trcR	15	15	GA	2136.27	2075.98	-0.041	-0.148	-0.135	0.092	0.014	-0.167	-0.041	24.48	0.01370901	0.8769500000	1.0000000000
RVBD1034c:RVBD1034c	5	5	NE	1549.25	1308.22	-0.244	-0.244	-0.244	-0.244	-0.244	-0.244	-0.244	56.41	0.03940648	0.7530500000	1.0000000000
RVBD1035c:RVBD1035c	5	5	NE	865.85	983.29	0.183	0.183	0.183	0.183	0.183	0.183	0.183	-32.93	-0.01853445	0.8360500000	1.0000000000
RVBD1036c:RVBD1036c	6	6	NE	1316.26	1300.50	-0.017	-0.152	-0.017	0.157	-0.017	-0.152	-0.017	82.01	0.06466727	0.9090000000	1.0000000000
RVBD1037c:esxI	5	5	NE	1840.95	1921.32	0.062	0.062	0.062	0.062	0.062	0.062	0.062	17.33	0.01790004	0.9618500000	1.0000000000
RVBD1038c:esxJ	3	3	NE	1274.50	1345.90	0.079	0.079	0.079	0.079	0.079	0.079	0.079	49.30	0.10573578	0.6989000000	1.0000000000
RVBD1039c:PPE15	6	6	NE	2312.58	2284.64	-0.018	-0.084	-0.018	-0.084	-0.018	0.150	-0.018	-13.15	-0.00656275	0.9557500000	1.0000000000
RVBD1040c:PE8	6	6	NE	2923.57	3196.22	0.129	0.030	0.129	0.139	0.129	0.139	0.129	245.44	0.09071246	0.7377500000	1.0000000000
RVBD1041c:RVBD1041c	9	9	NE	2219.84	2024.24	-0.133	-0.045	-0.133	0.066	-0.133	0.092	-0.133	-11.08	-0.00561576	0.9374500000	1.0000000000
RVBD1042c:RVBD1042c	4	4	NE	1918.41	1782.32	-0.106	-0.106	-0.106	-0.106	-0.106	-0.106	-0.106	-63.18	-0.04709542	0.2477500000	1.0000000000
RVBD1043c:RVBD1043c	13	13	GA	930.59	942.13	0.018	-0.120	0.153	0.257	0.216	0.150	-0.033	23.32	0.03693121	0.7159500000	1.0000000000
RVBD1044:RVBD1044	38	38	ES	1049.10	1014.52	-0.048	-0.795	-0.531	0.173	0.127	0.142	0.021	-94.75	-0.09317048	0.1957000000	1.0000000000
RVBD1045:RVBD1045	7	7	NE	2322.43	2383.02	0.037	0.032	0.037	0.032	0.037	0.062	0.037	33.45	0.02339389	1.0000000000	1.0000000000
RVBD1046c:RVBD1046c	9	9	NE	1180.10	1173.63	-0.008	-0.254	-0.008	-0.065	-0.008	-0.060	-0.008	-45.82	-0.04223446	0.7655500000	1.0000000000
RVBD1047:RVBD1047	19	19	NE	4705.55	4459.49	-0.077	-0.185	-0.043	0.116	-0.006	-0.060	0.051	180.39	0.04690702	0.9457000000	1.0000000000
RVBD1048c:RVBD1048c	5	5	NE	1930.51	1781.48	-0.116	-0.116	-0.116	-0.116	-0.116	-0.116	-0.116	-18.74	-0.01125888	0.7805500000	1.0000000000
RVBD1049:RVBD1049	2	2	NE	667.13	776.26	0.219	0.219	0.219	0.219	0.219	0.219	0.219	13.82	0.02433994	1.0000000000	1.0000000000
RVBD1050:RVBD1050	8	8	NE	1873.18	1801.73	-0.056	-0.077	-0.056	-0.084	-0.056	-0.034	-0.056	11.93	0.01602283	0.9423500000	1.0000000000
